scrape_date,scrape_time,strain_name,strain_type,website,strain_highlights,num_ratings,avg_rating,num_of_review,flavor_one,flavor_two,flavor_three,effect_one,effect_one_score,effect_two,effect_two_score,effect_three,effect_three_score,effect_four,effect_four_score,effect_five,effect_five_score,medical_one,medical_one_score,medical_two,medical_two_score,medical_three,medical_three_score,medical_four,medical_four_score,medical_five,medical_five_score,ailment_one,ailment_two,ailment_three,ailment_four,ailment_five,negative_one,negative_one_score,negative_two,negative_two_score,negative_three,negative_three_score,negative_four,negative_four_score,negative_five,negative_five_score,most_popular_one,most_popular_two,most_popular_three,most_popular_four,most_popular_five,most_popular_six,most_popular_seven,most_popular_eight,most_popular_nine,most_popular_ten
05/04/2014,17:26:16,$100 OG,Hybrid,http://www.leafly.com/hybrid/100-og,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side. ",460,3.9,417,Blueberry,Diesel,Skunk,Creative,30.2,Energetic,33.4,Giggly,28.7,Happy,24.8,Hungry,30.1,Depression,19.5,Eye Pressure,12.6,Muscle Spasms,15.7,Pain,25.9,Stress,31.4,Anxiety,Migraines,PMS,Gastrointestinal Disorder,Bipolar Disorder,Dizzy,4.1,Dry Mouth,29.8,Dry Eyes,23.3,Headache,3.1,Paranoid,4.6,"Lakewood, CO",,,,,,,,,
05/04/2014,17:26:17,3 Kings,Hybrid,http://www.leafly.com/hybrid/3-kings,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",23,4.1,18,Earthy,Pine,Pungent,Energetic,74.8,Euphoric,81.5,Happy,73.8,Relaxed,69.4,Uplifted,71.0,Depression,34.6,Insomnia,38.5,Nausea,33.2,Pain,45.2,Stress,62.6,Migraines,Anxiety,ADD/ADHD,Bipolar Disorder,Gastrointestinal Disorder,Dizzy,10.5,Dry Eyes,33.9,Dry Mouth,29.4,Headache,5.3,Paranoid,8.3,"Los Angeles, CA","Seattle, WA","Alameda, CA","Sacramento, CA","Bakersfield, CA",CA,"Chico, CA","Cotati, CA","Fresno, CA","Irvine, CA"
05/04/2014,17:26:17,707 Headband,Hybrid,http://www.leafly.com/hybrid/707-headband,"This strain emerged from the Bay Area of California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",119,4.2,74,Pungent,Skunk,Berry,Creative,89.6,Euphoric,93.6,Happy,98.6,Relaxed,86.1,Uplifted,80.3,Depression,31.0,Inflammation,25.0,Insomnia,30.1,Pain,65.7,Stress,61.0,Anxiety,Arthritis,Migraines,Bipolar Disorder,ADD/ADHD,Dizzy,6.6,Dry Mouth,38.0,Dry Eyes,15.8,Headache,10.7,Paranoid,17.4,"Portland, OR","Colorado Springs, CO","Cathcart, WA","Denver, CO","Idaho Springs, CO","Kent, WA","Santa Rosa, CA","Steamboat Springs, CO",,
05/04/2014,17:26:17,303 OG,Hybrid,http://www.leafly.com/hybrid/303-og,"The indica-dominant hybrid 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2014,17:26:18,Acapulco Gold,Hybrid,http://www.leafly.com/hybrid/acapulco-gold,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. ",88,4,62,Earthy,Citrus,Lemon,Creative,68.6,Energetic,59.2,Euphoric,69.0,Happy,83.3,Uplifted,78.5,Depression,28.9,Fatigue,15.5,Insomnia,13.5,Pain,38.9,Stress,37.1,Anxiety,PTSD,Migraines,PMS,Anorexia,Dizzy,10.3,Dry Eyes,40.2,Dry Mouth,38.0,Headache,6.8,Paranoid,17.1,"Los Angeles, CA","Bakersfield, CA","Black Canyon City, AZ","Denver, CO","Irvine, CA","Jackson, MI","Lancaster, CA","Phoenix, AZ","Sacramento, CA","Sears, MI"
05/04/2014,17:26:18,A-Train,Hybrid,http://www.leafly.com/hybrid/a-train,A-train is a hybrid between afghani Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,20,3.5,14,Ammonia,Earthy,Nutty,Aroused,64.4,Euphoric,62.5,Happy,60.3,Hungry,40.3,Uplifted,51.1,Insomnia,17.0,Muscle Spasms,30.0,Nausea,14.4,Pain,17.4,Stress,51.8,Anxiety,ADD/ADHD,Migraines,Alzheimer's,Epilepsy,Anxious,3.3,Dry Mouth,31.8,Dry Eyes,8.8,Headache,20.0,Paranoid,14.0,"Phoenix, AZ","Portland, OR","Renton, WA",,,,,,,
05/04/2014,17:26:19,ACDC,Hybrid,http://www.leafly.com/hybrid/acdc,"ACDC, a sativa-dominant phenotype of the high-CBD strain, Cannatonic, is a popular strain in California. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",6,3.6,5,Earthy,Skunk,Citrus,Euphoric,57.1,Focused,100.0,Happy,42.9,Relaxed,100.0,Talkative,42.9,Muscle Spasms,42.9,Pain,100.0,Seizures,42.9,Spasticity,42.9,Stress,100.0,Anxiety,Epilepsy,Phantom Limb Pain,Arthritis,Cancer,,,,,,,,,,,"Los Angeles, CA","Salem, OR","Santa Rosa, CA","Van Ness, CA",,,,,,
05/04/2014,17:26:19,Ace of Spades,Hybrid,http://www.leafly.com/hybrid/ace-of-spades,"Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.",39,4,23,Citrus,Berry,Sweet,Creative,54.6,Energetic,40.1,Euphoric,100.0,Relaxed,40.9,Sleepy,42.9,Depression,15.7,Insomnia,38.0,Muscle Spasms,41.6,Pain,61.3,Stress,41.7,Anxiety,Migraines,HIV/AIDS,Muscular Dystrophy,Spinal Cord Injury,Dizzy,17.9,Dry Mouth,52.9,Dry Eyes,12.2,Headache,4.1,Paranoid,9.0,"Portland, OR","Seattle, WA","Salem, OR","Eugene, OR","Everett, WA","Lansing, MI","Los Angeles, CA","Tacoma, WA","Ann Arbor, MI","Avon, WA"
05/04/2014,17:26:19,Afghan Big Bud,Hybrid,http://www.leafly.com/hybrid/afghan-big-bud,"Spawn from Afghan Kush and Big Bud, Afghan Big Bud is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghan Kush, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours. ",16,3.7,12,Vanilla,Sweet,Tree Fruit,Creative,86.0,Euphoric,66.1,Happy,53.7,Relaxed,66.7,Uplifted,42.5,Insomnia,6.6,Muscle Spasms,8.2,Nausea,9.5,Pain,20.3,Stress,28.8,Anxiety,Migraines,PMS,,,Dry Mouth,52.6,Dry Eyes,9.5,Paranoid,1.3,,,,,"Vancouver, BC",,,,,,,,,
05/04/2014,17:26:20,Afghan Diesel,Hybrid,http://www.leafly.com/hybrid/afghan-diesel,Afghan Diesel has an aroma similar to a grapefruit or other similar citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds. ,18,3.8,12,Chestnut,Pear,Pineapple,Creative,13.6,Energetic,7.5,Euphoric,20.4,Happy,7.5,Uplifted,12.4,Depression,3.4,Insomnia,5.7,Nausea,5.7,Pain,16.9,Stress,22.6,Anxiety,Migraines,ADD/ADHD,,,Anxious,2.6,Dizzy,6.0,Dry Mouth,16.9,Dry Eyes,13.6,Paranoid,2.3,"San Diego, CA",,,,,,,,,
05/04/2014,17:26:20,Afghanica,Hybrid,http://www.leafly.com/hybrid/afghanica,A 65/35 indica/sativa hybrid that grows well in temperate regions.  Effective for relieving pain and insomnia.  Heavy physical characteristics lent from it's mother Afghani #1.,7,4,8,Sweet,,,Creative,30.3,Euphoric,36.4,Relaxed,97.0,Sleepy,17.2,Uplifted,100.0,Insomnia,5.5,Nausea,12.7,Pain,100.0,Stress,22.7,,,Anxiety,,,,,Dizzy,11.5,Dry Mouth,31.3,Dry Eyes,20.8,,,,,"Avon, WA",,,,,,,,,
05/04/2014,17:26:20,Afghooey,Hybrid,http://www.leafly.com/hybrid/afghooey,Light and fluffy buds heavily laden with a crystal coating of trichomes. Working this marijuana in your hand can become a very sticky situation. Smoking Afghooey provides you with a best of both worlds indica & sativa high.,89,4.1,55,Earthy,Pine,Citrus,Aroused,66.0,Euphoric,100.0,Happy,92.4,Relaxed,70.6,Sleepy,71.0,Depression,68.8,Fatigue,30.9,Insomnia,69.7,Pain,58.3,Stress,100.0,Anxiety,ADD/ADHD,Bipolar Disorder,Migraines,PMS,Dizzy,8.0,Dry Mouth,40.6,Dry Eyes,23.5,Headache,0.9,Paranoid,11.5,"Medford, OR","Seattle, WA",,,,,,,,
